,STT,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Viện Quản lý,Học phần điều kiện,Tên tiếng anh,Trọng số,Mục tiêu,Nội dung
72,72,BEE4341,Kỹ thuật robot,3(3-1-0-6),3,4,VDTLT, ,Robot Engineering,0.7,,
73,73,BEE4403,Thiết bị nén và thủy lực trong TĐH,3(3-1-0-6),3,4.5,VDTLT, ,Pneumatic and Hydraulic Systems,0.7,,
74,74,BEE4435,Hệ thống điều khiển số,3(3-1-0-6),3,4,VDTLT, ,Digital Control Systems,0.7,,
75,75,BEE5010,Đồ án tốt nghiệp,9(0-0-18-18),9,22.5,VDTLT, ,Graduation Project,0.5,,
76,76,BEE5020,Đồ án tốt nghiệp,9(0-0-18-18),9,22.5,VDTLT, ,Graduation Project,0.5,,
77,77,BEE5050,Kỹ thuật điện cao áp II,2(2-1-0-4),2,3,VDTLT, ,High-Voltage Engineering II,0.7,,
78,78,BEE5060,Sử dụng máy tính trong phân tích HTĐ,3(3-1-0-6),3,4,VDTLT, ,Computer-based Analysis of Power Systems,0.7,,
79,79,BEE5100,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,VDTLT, ,Graduation Practicum,0.5,,
80,80,BEE5200,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,VDTLT, ,Graduation Practicum,0.5,,
81,81,BEM3100,Kinh tế học vi mô,3(3-1-0-6),3,4,VDTLT, ,Microeconomics,0.7,,
82,82,BEM3110,Kinh tế học vĩ mô,3(3-1-0-6),3,4,VDTLT, ,Macroeconomics,0.7,,
83,83,BEM3111,Quản trị học,3(3-1-0-6),3,4,VDTLT, ,Management Science,0.7,,
84,84,BEM3130,Kinh tế lượng,3(3-0-0-6),3,3,VDTLT, ,Econometrics,0.7,,
85,85,BEM3140,Kinh tế học quốc tế,2(2-0-0-4),2,2,VDTLT, ,International Economics,0.7,,
86,86,BEM3170,Văn hóa kinh doanh,2(2-0-0-4),2,2,VDTLT, ,Business Culture,0.7,,
87,87,BEM3190,Hành vi tổ chức,2(2-0-0-4),2,2,VDTLT, ,Organizational Behaviors,0.7,,
88,88,BEM3210,Marketing cơ bản,3(3-0-0-6),3,3,VDTLT, ,Fundamentals of Marketing,0.7,,
89,89,BEM3220,Luật kinh doanh,3(3-0-0-6),3,3,VDTLT, ,Business Law,0.7,,
90,90,BEM3230,Thống kê ứng dụng,3(3-0-0-6),3,3,VDTLT, ,Applied Statistics,0.7,,
91,91,BEM3500,Nguyên lý kế toán,3(3-0-0-6),3,3,VDTLT, ,Principles of Accounting,0.7,,
92,92,BEM3522,Quản trị tài chính,3(3-1-0-6),3,4,VDTLT, ,Financial Management,0.7,,
93,93,BEM4211,Anh văn ngành QTKD,3(3-0-0-6),3,3,VDTLT, ,English for Business Administration,0.7,,
94,94,BEM4212,Phân tích hoạt động kinh doanh,3(3-0-0-6),3,3,VDTLT, ,Corporate Performance Analysis,0.7,,
95,95,BEM4218,Hệ thống thông tin QT,3(3-0-0-6),3,3,VDTLT, ,Management Information Systems,0.7,,
96,96,BEM4312,Quản trị marketing,3(3-1-0-6),3,4,VDTLT, ,Marketing Management,0.7,,
97,97,BEM4350,Thực tập tốt nghiệp,2(0-4-0-8),2,5,VDTLT, ,Graduation Internship,0.5,,
98,98,BEM4351,Khóa luận tốt nghiệp,6(1-10-0-12),6,15,VDTLT, ,Graduation Thesis,0.5,,
99,99,BEM4412,Quản trị chất lượng,2(2-1-0-4),2,3,VDTLT, ,Quality Management,0.7,,
100,100,BEM4413,Quản trị nhân lực,3(3-0-0-6),3,3,VDTLT, ,Human Resource Management,0.7,,
101,101,BEM4415,Quản trị công nghệ,2(2-0-0-4),2,2,VDTLT, ,Technology Management,0.7,,
102,102,BEM4416,Quản trị chiến lược,3(3-0-0-6),3,3,VDTLT, ,Strategy Management,0.7,,
103,103,BEM4417,Quản trị sản xuất,3(3-1-0-6),3,4,VDTLT, ,Operations Management,0.7,,
104,104,BEM4435,Quản trị dự án,3(3-0-0-6),3,3,VDTLT, ,Project Management,0.7,,
105,105,BEM4720,Kế toán doanh nghiệp,3(3-1-0-6),3,4,VDTLT, ,Corporate Accounting,0.7,,
106,106,BF1016,Sinh học đại cương,"4(3-1-0,5-8)",4,5,VCNSHVTP, ,General Biology,0.7,"Cung cấp cho sinh viên nguyên lý làm việc, phương pháp tính toán thiết kế và
lĩnh vực ứng dụng hiệu quả của các thiết bị sử dụng trong sản xuất đúc.","Các thiết bị chuẩn bị và tái sinh hỗn hợp làm khuôn. Các thiết bị làm khuôn và
ruột. Các thiết bị phá dỡ khuôn và ruột. Các thiết bị làm sạch vật đúc. Các
thiết bị tại bộ phận nấu. Các thiết bị phụ trợ khác. Bài tập lớn."
107,107,BF2010,Hóa sinh thực phẩm,3(3-0-0-6),3,3,VCNSHVTP, ,Food Biochemistry,0.7,"Trang bị cho sinh viên ngành Cử nhân công nghệ thực phẩm những kiến thức cơ
bản về cấu tạo, tính chất, chức năng, sự chuyển hoá của  
các hợp phần thực phẩm, cũng như về chất xúc tác sinh học (enzym), làm nền
tảng để sinh viên có khả năng tiếp thu kiến thức của các môn chuyên ngành chế
biến và bảo quản các sản phẩm sinh học, thực phẩm một cách có hiệu quả .","Nội dung của học phần sẽ được chia làm 2 phần chính sau:

  * Hóa sinh tĩnh: cấu tạo, tính chất, chức năng các hợp phần thực phẩm: protein, gluxit, lipit, vitamin, các chất màu, chất thơm, chất xúc tác sinh học (enzym). 
  * Hóa sinh động: các đường hướng chuyển hóa chính của các hợp phần thực phẩm và cơ sở sinh hóa của một số quá trình chế biến thực phẩm."
108,108,BF2011,Thí nghiệm hóa sinh thực phẩm,3(0-0-6-6),3,9,VCNSHVTP,BF2010=,Food Biochemistry Lab,1,"Sinh viên được học, làm quen và rèn luyện kỹ năng trong chuẩn bị và phân tích
các hợp phần thực phẩm, bao gồm protein, axit amin, gluxit, lipit , vitamin và
hoạt độ enzym.","* Thực hành một số phương pháp phân tích định tính và định lượng các hợp phần thực phẩm và phương pháp xác định hoạt độ enzym. 
  * Các bài thí nghiệm bao gồm:Xác định hàm lượng nitơ tổng số và protein, Phương pháp đo quang, xác định hàm lượng protein: Lowry/Bradforrd, Xác định hàm lượng đường khử tổng số.  

  * Xác định hàm lượng đường không khử (saccarose, tinh bột), Kỹ thuật sắc ký bản   
mỏng. Đánh giá các chỉ số lí hóa của dầu mỡ, Định lượng vitamin, Phương pháp
xác định hoạt độ enzym."
109,109,BF2012,Vi sinh vật thực phẩm,2(2-0-0-4),2,2,VCNSHVTP,BF2010=,Food Microbiology,0.7,"Trên cơ sở các kiến thức cơ bản về hóa hữu cơ, hóa sinh, sinh viên nắm được
cấu trúc tế bào vi khuẩn, virus và vi nấm; đặc điểm sinh lý và hệ thống phân
loại vi sinh vật, vai trò của vi sinh vật trong công nghiệp thực phẩm.","* Đặc điểm hình thái, sinh lý, sinh hoá của vi sinh vật,
  * Các qúa trình trao đổi chất ở vi sinh vật, sự sinh trưởng phát triển và kiểm soát sự trưởng thành và phát triển   

  * Các nhóm VSVquan trọng trong CNTP và ứng dụng"
110,110,BF2013,Thí nghiệm vi sinh vật thực phẩm,3(0-0-6-6),3,9,VCNSHVTP,BF2012=,Food Microbiology Lab,0.7,"Trang bị một số kiến thức cơ bản về chuẩn bị môi trường nuôi cấy vi sinh vật ;
kỹ thuật làm tiêu bản và nghiên cứu cấu trúc tế bào, đặc  
điểm hình thái sinh lý của một số nhóm vi sinh vật có vai trò quan trọng trong
CNTP.","Các bài thí nghiệm bao gồm

  * Chuẩn bị dụng cụ nghiên cứu;
  * Chế tạo môi trường dinh dưỡng nuôi vi sinh vật;   

  * Kỹ thuật sử dụng kính hiển vi trong quan sát VSV   

  * Kỹ thuật nuôi cấy VSV"
111,111,BF2020,Technical Writing and Presentation,3(2-2-0-6),3,4,VCNSHVTP, ,Technical Writing and Presentation,0.6,,
112,112,BF2023,Nhập môn công nghệ thực phẩm,3(2-0-2-6),3,5,VCNSHVTP, ,Introduction to Food Engineering,0.7,"Nhập môn Công nghệ Thực phẩm là học phần bắt buộc đầu tiên thuộc khối kiến
thức giáo dục chuyên nghiệp nhằm:

  * Giúp sinh viên nhận thức rõ sự cần thiết và mối liên hệ giữa các môn toán, khoa học cơ bản và các môn kỹ thuật, từ đó tạo cho sinh viên hứng thú học tập các môn toán và khoa học cơ bản. 
  * Tạo môi trường thực hành và điều kiện học trải nghiệm để sinh viện nhận thức sâu hơn về đặc điểm của ngành nghề và yêu cầu công việc sau này, tự khám phá kiến thức thông qua thực hành, đồng thời rèn luyện một số kỹ năng tay nghề tối thiểu
  * Giúp sinh viên bước đầu học phương pháp giải quyết bài toán thực tiễn, phát triển kỹ năng chuyên nghiệp và kỹ năng xã hội, tạo điều kiện cho sinh viên học phương pháp lập nhóm và làm việc theo nhóm  

  * Giúp sinh viên có được sự say mê cùng sự tự tin cần thiết trong học tập và trong con đường nghề nghiệp sau này.","Các chuyên đề: giới thiệu ngành nghề, giới thiệu chương trình đào tạo, kỹ năng
viết báo cáo, trình bày, làm việc nhóm… Thực hiện đề tài theo nhóm (3
SV/nhóm), Báo cáo viết và bảo vệ kết quả thực hiện đề tài."
113,113,BF2110,Hoá sinh,4(4-0-0-8),4,4,VCNSHVTP,CH3223,Biochemistry,0.7,"Trang bị cho sinh viên ngành Kỹ thuật sinh học những kiến thức cơ bản về cấu
tạo, tính chất, chức năng, sự chuyển hoá của các nhóm hợp chất hóa sinh, chất
xúc tác sinh học (enzym), làm nền tảng để sinh viên hiểu nguyên tắc các quá
trình sống của sinh vật và nguyên tắc quá trình công nghệ tạo sản phẩm sinh
học, nguyên tắc cấu trúc và ổn định chất lượng sản phẩm sinh học.","* Các kiến thức cơ bản về: cấu tạo, tính chất, chức năng, phân loại, nguồn gốc và sử dụng các hợp phần hóa sinh (enzym, protein, gluxit, lipit, vitamin, axit nucleic); 
  * Các con đường trao đổi chất và chuyển hoá năng lượng của các hợp phần hóa sinh;   

  * Nguyên tắc biến đổi cấu trúc các thành phần hóa sinh;   

  * Nguyên tắc trao đổi năng lượng và trao đổi chất của các hợp phần hóa sinh."
114,114,BF2111,TN Hóa sinh,2(0-0-4-4),2,6,VCNSHVTP,BF2110=,Biochemistry Lab,0.7,"Rèn luyện cho sinh viên kỹ năng trong chuẩn bị và phân tích các hợp phần hóa
sinh, bao gồm protein, axit amin, gluxit, lipit và hoạt động enzym. Sau khi
học sinh viên có khả năng:

  * Kiểm nghiệm lại được một số tính chất của các hợp phần thực phẩm được học ở trên lớp 
  * Biết cách vận hành và sử dụng một số thiết bị phân tích sinh hóa thông thường trong phòng thí nghiệm
  * Có khả năng xác định một số chỉ tiêu sinh hóa của các hợp phần thực phẩm (từ chuẩn bị mẫu, tiến hành thí nghiệm đến phân tích và xử lí kết quả thu được)","* Thực hành một số phương pháp phân tích định tính và định lượng các hợp phần sinh và phương pháp xác định hoạt độ enzym. Các bài thí nghiệm được thiết kế hoàn chỉnh cho phân tích một hợp phần hóa sinh, bao gồm từ lựa chọn phương pháp, pha hóa chất, phân tích, tính toán, diễn giải kết quả.
  * Phương pháp xác định hàm lượng nitơ tổng số và protein, Xác định hàm lượng đường khử , phân tích và xác định hàm lượng đường không khử (saccarose, tinh bột), Kỹ thuật sắc ký bản mỏng trong đỊnh loại gluxit, lipit, axit amin, Chiết và đỊnh lượng chất béo trong vật phẩm, Định lượng vitamin (C và B1). Xác định hoạt độ enzyme (protease, amylase, và polyphenoloxydase)"
115,115,BF2112,Nhập môn KT sinh học,2(2-0-1-4),2,3.5,VCNSHVTP, ,Introduction to Biological Engineering,0.7,"* Tạo môi trường thực hành và điều kiện học trải nghiệm để sinh viện nhận thức sâu hơn về đặc điểm của ngành nghề và yêu cầu công việc sau này, tự khám phá kiến thức thông qua thực hành, đồng thời rèn luyện một số kỹ năng tay nghề tối thiểu (thay cho môn thực tập nhận thức/thực tập xưởng trước kia). 
  * Sinh viên được làm quen và tìm hiểu ngành nghề thông qua bài giảng cuả giảng viên, bài giảng của giáo viên thỉnh giảng và các bài tập PTN.","Môn học giới thiệu cho sinh viên: khái niệm ngành, nguyên tắc kỹ thuật sinh
học trong công nghệ sản xuất sản phẩm CNSH  
Môn học bao gồm ba phần:

  * Các khái niệm và giới thiệu về chuyên ngành Kỹ thuật sinh học 
  * Tham quan cơ sở chuyên ngành/ giáo viên thỉnh giảng của cơ sở sản xuất  

  * Bài tập phòng thí nghiệm theo nhóm do sinh viên thiết kế"
116,116,BF2410,Công nghệ sinh học đại cương,3(3-1-0-6),3,4,VCNSHVTP, ,General Biotechnology,0.7,"Cung cấp cho sinh viên những kiến thức cơ bản về công nghệ sinh học (Công nghệ
vi sinh, Công nghệ hóa sinh,, Công nghệ di truyền) nhằm hiểu rõ mối quan hệ
mật thiết giữa CNSH và CNHH cũng như bảo vệ môi trường, tạo điều kiện ứng dụng
trong sản xuất các sản phẩm hóa học một cách có hiệu quả.","* Các vật liệu sinh học trong công nghệ thực phẩm (protein, gluxit, lipit) 
  * Chất xúc tác sinh học  

  * Công nghệ vi sinh  

  * Các sản phẩm lên men từ vi sinh vật: etanol, glyxerol, axit axetic"
117,117,BF2511,Nhập môn Công nghệ thực phẩm,2(2-0-1-4),2,3.5,VCNSHVTP, ,Introduction to Food Technology,0.6,,
118,118,BF2511E,Nhập môn Công nghệ thực phẩm,1(1-0-1-2),1,2.5,VCNSHVTP, ,Introduction to Food Technology,0.7,,
119,119,BF2571E,Kỹ thuật các quá trình CNTP I,2(2-0-1-4),2,3.5,VCNSHVTP, ,Processes in Food engineering I,0.7,,
120,120,BF2572E,Kỹ thuật các Quá trình trong CNTP II,3(2-1-1-6),3,4.5,VCNSHVTP, ,Processes in Food engineering II,0.7,,
121,121,BF2573E,Kỹ thuật các Quá trình trong CNTP III,3(2-1-1-6),3,4.5,VCNSHVTP, ,Processes in Food Engineering III,0.7,,
122,122,BF2701,Nhập môn kỹ thuật sinh học,2(1-1-1-4),2,3.5,VCNSHVTP, ,Introduction to Biotechnology,0.5,,
123,123,BF2702,Hóa sinh,4(4-0-0-8),4,4,VCNSHVTP, ,Biochemistry,0.6,,
124,124,BF2703,Thí nghiệm hóa sinh,2(0-0-4-4),2,6,VCNSHVTP, ,Laboratory Experiments in Biochemistry,0.8,,
125,125,BF2901,Nhập môn công nghệ thực phẩm,2(2-0-1-4),2,3.5,VCNSHVTP, ,Introduction to Food Technology,0.7,,
126,126,BF3010,Hóa sinh,3(3-0-0-6),3,3,VCNSHVTP,"CH3223,CH3306=",Biochemistry,0.7,"* Trang bị cho sinh viên ngành Kỹ thuật thực phẩm những kiến thức cơ bản về cấu tạo, tính chất, chức năng, sự chuyển hoá của các hợp phần thực phẩm, cũng như về chất xúc tác sinh học (enzym), làm nền tảng để sinh viên có khả năng tiếp thu kiến thức của các môn chuyên ngành. 
  * Hiểu được các cơ chế chuyển hóa của các quá trình trong và ngoài cơ thể nhằm ứng dụng trong sản xuất và bảo quản các sản phẩm sinh học, thực phẩm một   
cách có hiệu quả.","* Trang bị cho sinh viên ngành Kỹ thuật thực phẩm những kiến thức cơ bản về cấu tạo, tính chất, chức năng, sự chuyển hoá của các hợp phần thực phẩm, cũng như về chất xúc tác sinh học (enzym), làm nền tảng để sinh viên có khả năng tiếp thu kiến thức của các môn chuyên ngành.
  * Hiểu được các cơ chế chuyển hóa của các quá trình trong và ngoài cơ thể nhằm ứng dụng trong sản xuất và bảo quản các sản phẩm sinh học, thực phẩm một cách có hiệu quả."
127,127,BF3011,Hóa sinh đại cương,4(3-1-2-8),4,7,VCNSHVTP, ,General Biochemistry,0.7,,
128,128,BF3012,Vi sinh vật thực phẩm,3(3-0-0-6),3,3,VCNSHVTP,BF3010/BF3050,Food Microbiology,0.7,"Trên cơ sở các kiến thức cơ bản về hóa hữu cơ, hóa sinh sinh sinh viên nắm
được cấu trúc tế bào vi khuẩn, virus và vi nấm; đặc điểm sinh lý và hệ thống
phân loại vi sinh vật, vai trò của vi sinh vật trong thực tiễn.","* Đặc điểm hình thái, sinh lý, sinh hoá của vi sinh vật, 
  * Các qúa trình trao đổi chất ở vi sinh vật, sự sinh trưởng phát triển và kiểm soát sự trưởng thành và phát triển, sinh thái vi sinh vật ứng dụng, vi sinh vật ;   

  * Động học vi sinh vật và vai trò vi sinh vật trong công nghệ chế biến thực phẩm."
129,129,BF3013,TN Vi sinh vật thực phẩm,2(0-0-4-4),2,6,VCNSHVTP,BF3012=,Food Microbiology Lab,0.7,"Trang bị một số kiến thức cơ bản về chuẩn bị môi trường nuôi cấy vi sinh vật ;
kỹ thuật làm tiêu bản và nghiên cứu cấu trúc tế bào, đặc điểm hình thái sinh
lý của một số nhóm vi sinh vật điển hình.","Các bài thí nghiệm bao gồm :

  * Chuẩn bị dụng cụ nghiên cứu; 
  * Chế tạo môi trường dinh dưỡng nuôi vi sinh vật; Kỹ thuật sử dụng kính hiển vi;   

  * Các kỹ thuật gieo cấy vi sinh vật; Kỹ thuật phân lập vi sinh vật; Kỹ thuật định lượng tế bào vi sinh vật. Kỹ thuật làm tiêu bản quan sát vi sinh vật, và nghiên cứu khả năng lên men của vi sinh vật."
130,130,BF3014,Quá trình và thiết bị cơ học,3(2-1-1-6),3,4.5,VCNSHVTP, ,Mechanical Process and Equipment,0.7,"Sinh viên được trang bị kiến thức cơ sở vầ các nguyên lý cấu tạo, vận hành các
thiết bị cơ học trong sản xuất thực phẩm. Nhờ vậy sinh viên khi tốt nghiệp nắm
được các phương pháp tính toán sản xuất, biến thao tác, vận hành và điều chỉnh
các thông số kỹ thuật của các thiết bị cơ học trong sản xuất thực phẩm, có thể
cải tiến hoặc ứng dụng sản xuất các sản phẩm thực phẩm khác nhau.","Học phần “ Quá trình và thiết bị cơ học trong sản xuất thực phẩm” trang bị cho
sinh viên khái niệm cơ bản, phương pháp tính cân bằng vật liệu, năng lượng,
cấu tạo và nguyên tắc làm việc, thao tác, điều chỉnh, vận hành các thiết bị cơ
học trong sản xuất thực phẩm."
131,131,BF3015,Quá trình và thiết bị chuyển khối,3(2-1-1-6),3,4.5,VCNSHVTP,BF3016,Mass Transfer Process and Equipment,0.7,"Trang bị cho sinh viên kiến thức về truyền nhiệt chuyển chất trong các quá
trình cô đặc, sấy, chưng luyện và trích ly.",Quá trình cô đặc – sấy – chưng luyện và trích ly.
132,132,BF3016,Quá trình và thiết bị truyền nhiệt,2(2-0-1-4),2,3.5,VCNSHVTP, ,Heat Transfer Process and Equipment,0.7,"Sinh viên nắm được các kiến thức cơ bản về truyền nhiệt, các dạng kết cấu cơ
bản của các thiết bị truyền nhiệt và ứng dụng của các dạng thiết bị đó trong
Công nghiệp thực phẩm.","Môn học gồm 3 chương về truyền nhiệt, các thiết bị trao đổi nhiệt cơ bản và
những biến đổi xảy ra trong quá trình gia công nhiệt."
